timestep,episode_num,score,steps,survival_time,lines_cleared,single_clears,double_clears,triple_clears,tetris_clears,total_pieces,piece_I,piece_O,piece_T,piece_L,piece_J,piece_S,piece_Z,actions_taken,rotations,left_moves,right_moves,soft_drops,hard_drops,no_ops,invalid_actions,holes_created,max_height,avg_height,total_bumpiness,wells_created,coverage,max_combo,unique_states,state_revisits,lines_per_piece,score_per_piece,invalid_action_rate,tetris_rate
5756,77,0,62,62,0,0,0,0,0,12,1,2,2,1,2,2,2,62,12,9,8,7,12,14,0,66,20,11.399999618530273,40,1,0.24,0,12,50,0.0,0.0,0.0,0.0
5832,78,0,47,47,0,0,0,0,0,12,0,2,2,2,2,2,2,47,9,9,6,4,11,8,0,41,20,8.899999618530273,40,0,0.24,0,12,35,0.0,0.0,0.0,0.0
5932,79,0,99,99,0,0,0,0,0,12,2,1,1,2,2,2,2,99,15,18,16,13,11,26,1,48,19,9.59999942779541,35,1,0.24,0,13,86,0.0,0.0,0.010101010101010102,0.0
6028,80,0,68,68,0,0,0,0,0,9,1,2,0,1,1,2,2,68,14,18,12,10,9,5,0,52,19,8.800000190734863,38,0,0.18,0,10,58,0.0,0.0,0.0,0.0
6040,81,0,100,100,0,0,0,0,0,13,2,1,2,2,2,2,2,100,21,17,18,20,12,12,3,67,19,11.90000057220459,26,1,0.26,0,14,86,0.0,0.0,0.03,0.0
6088,82,0,64,64,0,0,0,0,0,13,2,2,2,2,2,2,1,64,10,9,10,13,11,11,2,61,19,11.300000190734863,40,2,0.26,0,14,50,0.0,0.0,0.03125,0.0
6188,83,0,40,40,0,0,0,0,0,9,1,2,1,1,0,2,2,40,8,3,5,11,9,4,0,30,19,6.600000381469727,38,0,0.18,0,9,31,0.0,0.0,0.0,0.0
6252,84,0,80,80,0,0,0,0,0,14,2,2,1,2,2,3,2,80,14,13,14,10,14,15,1,52,20,10.90000057220459,38,2,0.28,0,15,65,0.0,0.0,0.0125,0.0
6316,85,0,57,57,0,0,0,0,0,13,2,2,1,2,2,2,2,57,8,12,10,6,13,8,0,68,19,12.0,29,2,0.26,0,14,43,0.0,0.0,0.0,0.0
6392,86,0,88,88,0,0,0,0,0,12,2,2,2,2,2,0,2,88,11,16,22,12,11,16,4,29,19,7.699999809265137,38,1,0.24,0,13,75,0.0,0.0,0.045454545454545456,0.0
6472,87,0,55,55,0,0,0,0,0,11,2,1,2,2,2,1,1,55,6,8,13,8,11,9,1,68,20,11.199999809265137,40,1,0.22,0,12,43,0.0,0.0,0.01818181818181818,0.0
6568,88,0,63,63,0,0,0,0,0,11,1,2,1,1,2,2,2,63,9,14,6,17,11,6,2,48,19,9.199999809265137,42,2,0.22,0,12,51,0.0,0.0,0.031746031746031744,0.0
6620,89,0,108,108,0,0,0,0,0,15,2,2,2,1,2,3,3,108,12,24,16,20,15,21,0,36,20,9.59999942779541,38,0,0.3,0,16,92,0.0,0.0,0.0,0.0
6716,90,0,61,61,0,0,0,0,0,12,2,0,2,2,2,2,2,61,9,8,10,14,11,9,0,45,19,9.300000190734863,38,0,0.24,0,13,48,0.0,0.0,0.0,0.0
6792,91,0,56,56,0,0,0,0,0,11,2,2,1,2,2,1,1,56,9,9,9,6,11,12,0,28,19,7.200000286102295,38,0,0.22,0,12,44,0.0,0.0,0.0,0.0
6916,92,0,131,131,0,0,0,0,0,16,3,2,3,2,3,2,1,131,23,32,24,20,14,18,5,91,20,15.5,21,0,0.32,0,17,114,0.0,0.0,0.03816793893129771,0.0
7016,93,0,75,75,0,0,0,0,0,15,2,2,2,2,2,3,2,75,13,15,10,10,15,12,2,38,20,9.800000190734863,40,1,0.3,0,16,59,0.0,0.0,0.02666666666666667,0.0
7040,94,0,105,105,0,0,0,0,0,14,2,1,2,2,3,2,2,105,27,17,9,16,12,24,3,78,20,13.40000057220459,50,3,0.28,0,15,90,0.0,0.0,0.02857142857142857,0.0
7064,95,0,68,68,0,0,0,0,0,14,2,2,2,2,2,3,1,68,5,18,11,10,13,11,3,64,19,12.0,38,1,0.28,0,15,53,0.0,0.0,0.04411764705882353,0.0
7144,96,0,57,57,0,0,0,0,0,11,2,2,1,2,1,2,1,57,7,10,10,10,10,10,0,33,20,7.699999809265137,39,0,0.22,0,11,46,0.0,0.0,0.0,0.0
7288,97,0,62,62,0,0,0,0,0,11,1,2,1,2,2,1,2,62,13,12,10,10,11,6,2,36,19,8.0,40,2,0.22,0,12,50,0.0,0.0,0.03225806451612903,0.0
7320,98,0,64,64,0,0,0,0,0,11,2,1,2,1,2,1,2,64,9,10,15,8,11,11,3,37,19,8.100000381469727,37,1,0.22,0,11,53,0.0,0.0,0.046875,0.0
7352,99,0,84,84,0,0,0,0,0,14,1,3,2,2,2,2,2,84,10,17,14,11,13,19,2,52,20,10.90000057220459,39,2,0.28,0,15,69,0.0,0.0,0.023809523809523808,0.0
7436,100,0,73,73,0,0,0,0,0,14,2,2,1,2,2,3,2,73,8,14,14,12,14,11,1,78,20,13.40000057220459,40,2,0.28,0,14,59,0.0,0.0,0.0136986301369863,0.0
7532,101,0,53,53,0,0,0,0,0,12,2,2,1,1,2,2,2,53,5,10,8,11,11,8,0,46,19,9.399999618530273,44,1,0.24,0,13,40,0.0,0.0,0.0,0.0
7600,102,0,78,78,0,0,0,0,0,14,2,2,2,2,3,1,2,78,6,14,12,21,12,13,2,50,20,10.59999942779541,40,1,0.28,0,15,63,0.0,0.0,0.02564102564102564,0.0
7652,103,0,75,75,0,0,0,0,0,14,1,2,2,3,2,2,2,75,20,9,7,10,14,15,0,63,20,11.90000057220459,40,2,0.28,0,15,60,0.0,0.0,0.0,0.0
7684,104,0,62,62,0,0,0,0,0,11,2,2,2,1,1,2,1,62,12,9,12,6,9,14,1,37,19,8.100000381469727,41,1,0.22,0,12,50,0.0,0.0,0.016129032258064516,0.0
7776,105,0,61,61,0,0,0,0,0,11,1,2,1,2,1,2,2,61,11,9,8,11,11,11,0,62,20,10.59999942779541,40,1,0.22,0,11,50,0.0,0.0,0.0,0.0
7908,106,0,64,64,0,0,0,0,0,13,2,2,1,2,2,2,2,64,10,8,9,12,11,14,2,33,20,8.5,43,2,0.26,0,14,50,0.0,0.0,0.03125,0.0
7912,107,0,78,78,0,0,0,0,0,12,1,2,1,2,2,2,2,78,15,14,10,13,12,14,0,47,19,9.5,38,2,0.24,0,13,65,0.0,0.0,0.0,0.0
7996,108,0,78,78,0,0,0,0,0,13,2,2,2,2,2,1,2,78,13,15,12,12,13,13,1,52,19,10.5,38,3,0.26,0,14,64,0.0,0.0,0.01282051282051282,0.0
8112,109,0,50,50,0,0,0,0,0,12,0,2,2,2,2,2,2,50,10,10,12,4,12,2,0,52,20,10.100000381469727,38,1,0.24,0,13,37,0.0,0.0,0.0,0.0
8224,110,0,112,112,0,0,0,0,0,16,1,3,2,3,2,2,3,112,19,18,19,22,16,18,1,36,20,10.0,42,3,0.32,0,17,95,0.0,0.0,0.008928571428571428,0.0
8248,111,0,63,63,0,0,0,0,0,11,2,2,0,1,2,2,2,63,9,10,9,14,10,11,0,31,19,7.5,36,1,0.22,0,11,52,0.0,0.0,0.0,0.0
8312,112,0,101,101,0,0,0,0,0,14,2,2,3,2,1,2,2,101,12,19,22,21,14,13,1,45,19,10.100000381469727,38,1,0.28,0,15,86,0.0,0.0,0.009900990099009901,0.0
8452,113,0,57,57,0,0,0,0,0,11,2,2,1,1,1,2,2,57,10,6,8,13,10,10,0,51,20,9.5,40,0,0.22,0,12,45,0.0,0.0,0.0,0.0
8488,114,0,94,94,0,0,0,0,0,14,2,3,2,2,2,1,2,94,15,16,15,12,14,22,1,50,19,10.59999942779541,38,1,0.28,0,15,79,0.0,0.0,0.010638297872340425,0.0
8576,115,0,82,82,0,0,0,0,0,11,1,0,2,2,2,2,2,82,14,19,10,10,10,19,0,36,20,8.0,40,0,0.22,0,12,70,0.0,0.0,0.0,0.0
8616,116,0,76,76,0,0,0,0,0,14,2,2,2,2,3,2,1,76,15,13,13,9,13,13,5,74,20,13.0,42,2,0.28,0,15,61,0.0,0.0,0.06578947368421052,0.0
8920,117,0,108,108,0,0,0,0,0,15,2,2,1,3,2,3,2,108,21,16,15,19,12,25,7,58,20,11.90000057220459,40,2,0.3,0,16,92,0.0,0.0,0.06481481481481481,0.0
8928,118,0,119,119,0,0,0,0,0,16,2,3,3,2,3,1,2,119,38,17,15,12,16,21,1,46,20,11.0,37,1,0.32,0,17,102,0.0,0.0,0.008403361344537815,0.0
9072,119,0,124,124,0,0,0,0,0,13,2,2,2,2,2,1,2,124,27,19,17,21,13,27,3,60,19,11.199999809265137,38,1,0.26,0,14,110,0.0,0.0,0.024193548387096774,0.0
9196,120,0,69,69,0,0,0,0,0,12,2,2,2,2,0,2,2,69,12,7,17,11,11,11,0,65,20,11.300000190734863,40,1,0.24,0,13,56,0.0,0.0,0.0,0.0
9204,121,0,147,147,0,0,0,0,0,18,3,2,3,2,3,3,2,147,22,29,25,31,16,24,2,76,20,14.800000190734863,36,2,0.36,0,19,128,0.0,0.0,0.013605442176870748,0.0
9240,122,0,78,78,0,0,0,0,0,12,0,2,2,2,2,2,2,78,14,14,12,11,12,15,1,36,20,8.399999618530273,41,3,0.24,0,12,66,0.0,0.0,0.01282051282051282,0.0
9552,123,0,89,89,0,0,0,0,0,12,1,1,2,2,2,2,2,89,8,14,20,8,11,28,8,33,20,8.100000381469727,39,1,0.24,0,13,76,0.0,0.0,0.0898876404494382,0.0
9580,124,0,85,85,0,0,0,0,0,11,2,1,1,1,2,2,2,85,11,20,15,12,10,17,0,61,19,10.5,38,1,0.22,0,12,73,0.0,0.0,0.0,0.0
9608,125,0,101,101,0,0,0,0,0,16,2,3,3,2,2,2,2,101,20,21,16,13,14,17,0,38,20,10.199999809265137,52,2,0.32,0,17,84,0.0,0.0,0.0,0.0
9688,126,0,154,154,0,0,0,0,0,13,1,2,2,2,2,2,2,154,26,28,27,27,10,36,2,38,20,9.0,40,2,0.26,0,14,140,0.0,0.0,0.012987012987012988,0.0
9796,127,0,61,61,0,0,0,0,0,14,2,3,1,2,2,2,2,61,11,8,9,9,12,12,0,42,20,9.800000190734863,40,1,0.28,0,15,46,0.0,0.0,0.0,0.0
9836,128,0,64,64,0,0,0,0,0,12,2,2,2,2,0,2,2,64,10,7,8,18,10,11,3,31,20,7.900000095367432,40,0,0.24,0,12,52,0.0,0.0,0.046875,0.0
9980,129,0,73,73,0,0,0,0,0,12,1,2,2,2,2,1,2,73,11,15,14,13,12,8,1,50,19,9.800000190734863,38,2,0.24,0,13,60,0.0,0.0,0.0136986301369863,0.0
9988,130,0,95,95,0,0,0,0,0,14,1,3,2,2,2,2,2,95,13,24,14,8,12,24,0,61,20,11.699999809265137,40,1,0.28,0,15,80,0.0,0.0,0.0,0.0
10192,131,0,99,99,0,0,0,0,0,14,1,2,2,2,3,2,2,99,22,13,18,13,12,21,5,52,20,10.800000190734863,29,0,0.28,0,15,84,0.0,0.0,0.050505050505050504,0.0
10272,132,0,71,71,0,0,0,0,0,14,1,3,2,2,2,2,2,71,15,11,10,9,14,12,1,95,20,15.100000381469727,22,0,0.28,0,15,56,0.0,0.0,0.014084507042253521,0.0
10332,133,0,124,124,0,0,0,0,0,14,2,1,2,2,3,2,2,124,25,16,22,24,11,26,1,60,20,11.59999942779541,36,1,0.28,0,15,109,0.0,0.0,0.008064516129032258,0.0
10360,134,0,95,95,0,0,0,0,0,12,1,2,2,2,2,2,1,95,21,9,25,19,10,11,2,58,20,10.59999942779541,22,0,0.24,0,13,82,0.0,0.0,0.021052631578947368,0.0
10608,135,0,62,62,0,0,0,0,0,12,2,2,2,1,1,2,2,62,6,14,10,6,12,14,0,39,19,8.699999809265137,38,1,0.24,0,13,49,0.0,0.0,0.0,0.0
10620,136,0,107,107,0,0,0,0,0,14,3,2,2,2,1,2,2,107,23,17,13,17,14,23,1,34,20,9.0,41,3,0.28,0,15,92,0.0,0.0,0.009345794392523364,0.0
10672,137,0,85,85,0,0,0,0,0,14,2,3,2,2,2,2,1,85,14,17,13,13,14,14,4,78,20,13.40000057220459,31,1,0.28,0,15,70,0.0,0.0,0.047058823529411764,0.0
