timestep,episode_num,reward,length,won,target_word,guess_count,possible_words_count
1260,208,-15.0,6,False,START,6,1
1272,209,-10.5,6,False,HUMAN,6,1
1272,210,-17.833333,6,False,MUSIC,6,1
1272,211,-12.833333,6,False,SINCE,6,1
1284,212,16.5,6,False,BRING,6,1
1296,213,-19.666667,6,False,CHAOS,6,1
1296,214,-9.333333,6,False,COAST,6,1
1296,215,-10.166667,6,False,YOUTH,6,1
1308,216,12.0,6,False,RATIO,6,1
1320,217,-8.833333,6,False,PHASE,6,1
1320,218,-20.666667,6,False,IDEAL,6,1
1320,219,6.666667,6,False,SOUND,6,1
1332,220,-1.833333,6,False,BOATS,6,1
1344,221,-6.333333,6,False,CRAFT,6,1
1344,222,-11.333333,6,False,LINKS,6,1
1344,223,-15.833333,6,False,CHARM,6,1
1356,224,-2.833333,6,False,STAND,6,1
1368,225,-0.333333,6,False,PAINT,6,1
1368,226,-17.0,6,False,DRILL,6,1
1368,227,0.833333,6,False,PRIZE,6,3
1380,228,0.5,6,False,TEACH,6,1
1392,229,-5.333333,6,False,ENEMY,6,1
1392,230,4.5,6,False,PETER,6,1
1392,231,2.0,6,False,CREAM,6,1
1404,232,0.833333,6,False,SLEEP,6,1
1416,233,15.333333,6,False,CROWN,6,1
1416,234,6.333333,6,False,STUDY,6,1
1416,235,-0.666667,6,False,MONTH,6,2
1428,236,12.166667,6,False,STUDY,6,1
1440,237,-11.166667,6,False,TREND,6,1
1440,238,19.0,6,False,CHILD,6,1
1440,239,-9.166667,6,False,WORTH,6,3
1452,240,-4.5,6,False,THEME,6,1
1464,241,1.0,6,False,THREW,6,1
1464,242,-0.0,6,False,TWICE,6,1
1464,243,0.5,6,False,CHASE,6,1
1476,244,-6.0,6,False,THIRD,6,1
1488,245,0.333333,6,False,BUILD,6,1
1488,246,8.0,6,False,GRACE,6,1
1488,247,-33.333333,6,False,FULLY,6,2
1500,248,7.0,6,False,TRICK,6,1
1512,249,4.333333,6,False,STEAM,6,1
1512,250,4.0,6,False,BROKE,6,1
1512,251,24.5,6,False,STATE,6,1
1524,252,-12.666667,6,False,WORTH,6,1
1536,253,1.666667,6,False,BUILD,6,1
1536,254,-20.666667,6,False,BENCH,6,1
1536,255,-6.166667,6,False,DEBUT,6,1
1548,256,0.166667,6,False,SMART,6,1
1560,257,-7.5,6,False,OCCUR,6,1
1560,258,9.833333,6,False,THINK,6,1
1560,259,-16.166667,6,False,FIBER,6,1
1572,260,-5.5,6,False,SKILL,6,1
1584,261,-25.166667,6,False,EVERY,6,1
1584,262,1.833333,6,False,FORTH,6,1
1584,263,-26.833333,6,False,QUICK,6,1
1596,264,-18.166667,6,False,RIGHT,6,1
1608,265,-11.0,6,False,INNER,6,1
1608,266,-1.0,6,False,EARTH,6,1
1608,267,7.166667,6,False,MODEL,6,1
1620,268,-21.5,6,False,FLUID,6,1
1632,269,-13.833333,6,False,CROSS,6,2
1632,270,-19.166667,6,False,STAND,6,1
1632,271,-16.166667,6,False,PLAIN,6,1
1644,272,-3.5,6,False,CATCH,6,1
1656,273,4.5,6,False,ANGER,6,1
1656,274,3.666667,6,False,ADIEU,6,1
1656,275,28.666667,6,False,BENCH,6,1
1668,276,-15.0,6,False,BIRTH,6,1
1680,277,-15.5,6,False,ALLOW,6,1
1680,278,5.5,6,False,MOVIE,6,1
1680,279,9.333333,6,False,TOUGH,6,1
1692,280,0.833333,6,False,TODAY,6,1
1704,281,-6.666667,6,False,SCORE,6,1
1704,282,6.5,6,False,GRAND,6,2
1704,283,-4.833333,6,False,VISIT,6,1
1716,284,-19.166667,6,False,PILOT,6,1
1728,285,11.833333,6,False,WHOLE,6,1
1728,286,9.0,6,False,TRACK,6,1
1728,287,-5.833333,6,False,EMPTY,6,1
1740,288,-29.333333,6,False,SPEED,6,1
1752,289,-13.0,6,False,MUSIC,6,1
1752,290,4.166667,6,False,EXACT,6,1
1752,291,6.5,6,False,STOCK,6,1
1764,292,-4.833333,6,False,TASTE,6,1
1776,293,2.0,6,False,SHEET,6,1
1776,294,7.166667,6,False,CHIEF,6,1
1776,295,24.666667,6,False,TRAIN,6,1
1788,296,-2.0,6,False,TRUCK,6,1
1800,297,-5.166667,6,False,RURAL,6,1
1800,298,8.0,6,False,SMILE,6,1
1800,299,-7.5,6,False,OFFER,6,1
1812,300,-0.5,6,False,EARTH,6,1
1824,301,1.333333,6,False,TREAT,6,1
1824,302,-7.833333,6,False,ROUND,6,1
