rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/explained_variance,time/fps,train/entropy_loss,train/n_updates,train/policy_loss,train/value_loss,time/iterations,eval/mean_reward,eval/mean_ep_length
-8297.530295269231,46000,1643.1923076923076,50,0.0007,0.021182239055633545,903,-0.8904320001602173,2299,-1.5181035995483398,26.630884170532227,2300,,
-8297.530295269231,48000,1643.1923076923076,52,0.0007,0.9915125370025635,916,-0.8498729467391968,2399,-2.658785581588745,89.94227600097656,2400,,
-8242.456580962964,50000,1667.148148148148,53,0.0007,0.9910018444061279,929,-0.8194231986999512,2499,-3.200132369995117,119.8254165649414,2500,,
-8105.824196068966,52000,1687.0689655172414,55,0.0007,0.9988616704940796,941,-0.8225677609443665,2599,1.430294156074524,12.525922775268555,2600,,
-8105.824196068966,54000,1687.0689655172414,56,0.0007,0.9741684794425964,952,-0.8516527414321899,2699,-1.8444945812225342,273.751953125,2700,,
-8077.336863533334,56000,1711.0666666666666,58,0.0007,0.9862898588180542,964,-0.7975404858589172,2799,2.5595920085906982,141.59603881835938,2800,,
-8077.336863533334,58000,1711.0666666666666,59,0.0007,0.4075140953063965,975,-0.807185173034668,2899,-146.6978759765625,42783.8828125,2900,,
-8122.921772939395,60000,1761.1515151515152,60,0.0007,0.012999951839447021,985,-0.8159006237983704,2999,2.825702428817749,40.425724029541016,3000,,
-8122.921772939395,62000,1761.1515151515152,62,0.0007,0.995170533657074,995,-0.7517697215080261,3099,-0.4595228135585785,58.39668655395508,3100,,
-7977.918991911766,64000,1774.6470588235295,63,0.0007,0.0063942670822143555,1004,-0.755372166633606,3199,1.8628581762313843,13.164976119995117,3200,,
-7878.300536800001,66000,1765.2,65,0.0007,0.1555030345916748,1013,-0.7633053064346313,3299,-29.758014678955078,21728.904296875,3300,,
-7749.042842583334,68000,1768.2222222222222,66,0.0007,0.9170235991477966,1021,-0.7530262470245361,3399,-12.47556209564209,1516.9202880859375,3400,,
-7700.838333567568,70000,1784.4054054054054,67,0.0007,-0.00013184547424316406,1029,-0.791458010673523,3499,0.2944374680519104,7.394107818603516,3500,,
-7612.30286981579,72000,1787.4473684210527,69,0.0007,0.2576969861984253,1037,-0.797933042049408,3599,-218.8696746826172,476110.90625,3600,,
-7549.129341384615,74000,1785.5897435897436,70,0.0007,0.9946316480636597,1044,-0.850525975227356,3699,1.1331641674041748,83.26972961425781,3700,,
-7451.445693146342,76000,1787.7317073170732,72,0.0007,0.00041037797927856445,1051,-0.7935124635696411,3799,4.875823020935059,75.52660369873047,3800,,
-7451.445693146342,78000,1787.7317073170732,73,0.0007,-0.0004286766052246094,1058,-0.779820442199707,3899,1.6159098148345947,46.31733322143555,3900,,
,80000,,,0.0007,0.9979586005210876,,-0.776725172996521,3999,-1.418533205986023,49.86726379394531,,-4367.33479886055,1508.5
-7240.875566142858,80000,1789.7142857142858,95,,,835,,,,,4000,,
-7173.125080186047,82000,1799.2325581395348,97,0.0007,0.4267101287841797,844,-0.8340188264846802,4099,-42.463417053222656,11591.23828125,4100,,
-7224.583149288888,84000,1812.8222222222223,98,0.0007,0.0010918378829956055,852,-0.7934476137161255,4199,3.386645793914795,70.83814239501953,4200,,
-7224.583149288888,86000,1812.8222222222223,99,0.0007,0.00179213285446167,860,-0.751479983329773,4299,3.418952226638794,70.01072692871094,4300,,
-7224.583149288888,88000,1812.8222222222223,101,0.0007,0.5256327390670776,868,-0.7557737827301025,4399,-21.3460636138916,877.9993896484375,4400,,
-7200.324654170213,90000,1832.6808510638298,102,0.0007,0.9954609870910645,875,-0.6821110248565674,4499,2.62583589553833,112.93473815917969,4500,,
-7200.324654170213,92000,1832.6808510638298,104,0.0007,0.9745173454284668,882,-0.7783716917037964,4599,-6.077563285827637,801.8837280273438,4600,,
-7206.495496591837,94000,1856.857142857143,105,0.0007,0.9970430135726929,889,-0.8402842283248901,4699,-3.3556969165802,100.68257141113281,4700,,
-7170.248165823531,96000,1844.0,107,0.0007,0.00013571977615356445,895,-0.8377894163131714,4799,2.640653610229492,68.19420623779297,4800,,
-7170.248165823531,98000,1844.0,108,0.0007,0.9888765811920166,902,-1.0078150033950806,4899,0.7517711520195007,271.67108154296875,4900,,
-7156.1379625384625,100000,1839.5,110,0.0007,7.349252700805664e-05,908,-0.9716249704360962,4999,0.8277997970581055,49.507835388183594,5000,,
