timestep,episode_num,reward,length,won,target_word,guess_count,possible_words_count
1656,274,-11.9,6,False,BRAIN,6,1
1656,275,-34.1,6,False,CHILD,6,1
1672,276,-7.6,6,False,RIGHT,6,3
1676,277,-14.4,6,False,STYLE,6,1
1680,278,-28.3,6,False,EARLY,6,1
1680,279,-31.4,6,False,MAYOR,6,1
1696,280,-43.7,6,False,MIGHT,6,4
1700,281,-29.4,6,False,QUEEN,6,1
1704,282,-19.6,6,False,SLANT,6,1
1704,283,-11.7,6,False,SEVEN,6,1
1720,284,-33.8,6,False,CLAIM,6,1
1724,285,2.5,6,False,STATE,6,1
1728,286,-39.0,6,False,SERVE,6,1
1728,287,-25.0,6,False,NOISE,6,1
1744,288,-35.6,6,False,BAKER,6,2
1748,289,-19.6,6,False,WOUND,6,1
1752,290,-58.9,6,False,BALLS,6,1
1752,291,-25.9,6,False,ALONE,6,1
1768,292,-46.6,6,False,CHEST,6,1
1772,293,-21.8,6,False,FORTH,6,1
1776,294,-32.2,6,False,STYLE,6,1
1776,295,-23.1,6,False,ARRAY,6,1
1792,296,-17.7,6,False,STATE,6,3
1796,297,-18.6,6,False,PEACE,6,1
1800,298,-25.1,6,False,FAULT,6,1
1800,299,-39.3,6,False,FAULT,6,1
1816,300,-27.2,6,False,TERMS,6,1
1820,301,-51.3,6,False,INDEX,6,2
1824,302,-17.6,6,False,SLATE,6,2
1824,303,-25.7,6,False,WATER,6,1
1840,304,-30.7,6,False,LEAST,6,1
1844,305,-35.6,6,False,GRACE,6,3
1848,306,-26.9,6,False,SOLVE,6,2
1848,307,-41.2,6,False,MOTOR,6,1
1864,308,-38.7,6,False,MARCH,6,1
1868,309,-34.1,6,False,WRONG,6,1
1872,310,-15.8,6,False,FRESH,6,1
1872,311,-37.1,6,False,CLAIM,6,1
1888,312,-21.6,6,False,QUICK,6,1
1892,313,-17.3,6,False,STORM,6,1
1896,314,-10.4,6,False,BRAND,6,1
1896,315,-26.7,6,False,MARCH,6,1
1912,316,-7.1,6,False,CABLE,6,1
1916,317,-22.9,6,False,COUNT,6,1
1920,318,-33.3,6,False,FIXED,6,2
1920,319,-27.6,6,False,MOUNT,6,1
1936,320,-30.8,6,False,SLIDE,6,1
1940,321,-31.6,6,False,VOCAL,6,2
1944,322,-27.0,6,False,COAST,6,1
1944,323,-11.6,6,False,AROSE,6,1
1956,324,150.9,5,False,WORRY,5,1
1964,325,-21.4,6,False,TOWER,6,1
1968,326,-32.8,6,False,PLACE,6,2
1968,327,-22.7,6,False,BROKE,6,2
1980,328,-30.5,6,False,EXACT,6,1
1988,329,-11.1,6,False,FRESH,6,1
1992,330,-0.2,6,False,PRICE,6,1
1992,331,-25.6,6,False,BUILD,6,1
